Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),folded_height_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),adjustable_height_mm (Plain text),angle_deg (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),image (Image),source_url_sv (Link),source_url_en (Link)
"10861 Loading ramp, 2-piece, 2200x820 mm",10861,iramp-vehicle-tvadelad,fordonsramper,10861,"10861 Lastramp, 2-delad, 2200x820 mm","10861 Loading ramp, 2-piece, 2200x820 mm",2200,820,,,1261,,,,,,,,"(A) Längd plattform: 2200 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1261 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2200 mm
(B) Platform width: 820 mm
(C) Height folded: 1261 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10863 Loading ramp, 2-piece, 2400x820 mm",10863,iramp-vehicle-tvadelad,fordonsramper,10863,"10863 Lastramp, 2-delad, 2400x820 mm","10863 Loading ramp, 2-piece, 2400x820 mm",2400,820,,,1361,,,,,,,,"(A) Längd plattform: 2400 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1361 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2400 mm
(B) Platform width: 820 mm
(C) Height folded: 1361 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10872 Loading ramp, 2-piece, 2600x820 mm",10872,iramp-vehicle-tvadelad,fordonsramper,10872,"10872 Lastramp, 2-delad, 2600x820 mm","10872 Loading ramp, 2-piece, 2600x820 mm",2600,820,,,1461,,,,,,,,"(A) Längd plattform: 2600 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1461 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2600 mm
(B) Platform width: 820 mm
(C) Height folded: 1461 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10874 Loading ramp, 2-piece, 2800x820 mm",10874,iramp-vehicle-tvadelad,fordonsramper,10874,"10874 Lastramp, 2-delad, 2800x820 mm","10874 Loading ramp, 2-piece, 2800x820 mm",2800,820,,,1561,,,,,,,,"(A) Längd plattform: 2800 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1561 mm
(D) Bredd ramp: 965 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 820 mm
(C) Height folded: 1561 mm
(D) Outside width ramp: 965 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10869 Loading ramp, 3-piece, 2500x900 mm",10869,iramp-vehicle-tredelad,fordonsramper,10869,"10869 Lastramp, 3-delad, 2500x900 mm","10869 Loading ramp, 3-piece, 2500x900 mm",2500,900,,,961,,,,,,,,"(A) Längd plattform: 2500 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 961 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2500 mm
(B) Platform width: 900 mm
(C) Height folded: 961 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10880 Loading ramp, 3-piece, 2800x900 mm",10880,iramp-vehicle-tredelad,fordonsramper,10880,"10880 Lastramp, 3-delad, 2800x900 mm","10880 Loading ramp, 3-piece, 2800x900 mm",2800,900,,,1061,,,,,,,,"(A) Längd plattform: 2800 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1061 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 900 mm
(C) Height folded: 1061 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10882 Loading ramp, 3-piece, 3100x900 mm",10882,iramp-vehicle-tredelad,fordonsramper,10882,"10882 Lastramp, 3-delad, 3100x900 mm","10882 Loading ramp, 3-piece, 3100x900 mm",3100,900,,,1161,,,,,,,,"(A) Längd plattform: 3100 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1161 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3100 mm
(B) Platform width: 900 mm
(C) Height folded: 1161 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10884 Loading ramp, 3-piece, 3400x900 mm",10884,iramp-vehicle-tredelad,fordonsramper,10884,"10884 Lastramp, 3-delad, 3400x900 mm","10884 Loading ramp, 3-piece, 3400x900 mm",3400,900,,,1261,,,,,,,,"(A) Längd plattform: 3400 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1261 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3400 mm
(B) Platform width: 900 mm
(C) Height folded: 1261 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10886 Loading ramp, 3-piece, 3700x900 mm",10886,iramp-vehicle-tredelad,fordonsramper,10886,"10886 Lastramp, 3-delad, 3700x900 mm","10886 Loading ramp, 3-piece, 3700x900 mm",3700,900,,,1361,,,,,,,,"(A) Längd plattform: 3700 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1361 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3700 mm
(B) Platform width: 900 mm
(C) Height folded: 1361 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10888 Loading ramp, 3-piece, 4000x900 mm",10888,iramp-vehicle-tredelad,fordonsramper,10888,"10888 Lastramp, 3-delad, 4000x900 mm","10888 Loading ramp, 3-piece, 4000x900 mm",4000,900,,,1461,,,,,,,,"(A) Längd plattform: 4000 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1461 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 4000 mm
(B) Platform width: 900 mm
(C) Height folded: 1461 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10890 Loading ramp, 3-piece, 4300x900 mm",10890,iramp-vehicle-tredelad,fordonsramper,10890,"10890 Lastramp, 3-delad, 4300x900 mm","10890 Loading ramp, 3-piece, 4300x900 mm",4300,900,,,1561,,,,,,,,"(A) Längd plattform: 4300 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1561 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 4300 mm
(B) Platform width: 900 mm
(C) Height folded: 1561 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10870 Loading ramp, 3-piece, 2500x820 mm",10870,iramp-vehicle-tredelad,fordonsramper,10870,"10870 Lastramp, 3-delad, 2500x820 mm","10870 Loading ramp, 3-piece, 2500x820 mm",2500,820,,,961,,,,,,,,"(A) Längd plattform: 2500 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 961 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2500 mm
(B) Platform width: 820 mm
(C) Height folded: 961 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10881 Loading ramp, 3-piece, 2800x820 mm",10881,iramp-vehicle-tredelad,fordonsramper,10881,"10881 Lastramp, 3-delad, 2800x820 mm","10881 Loading ramp, 3-piece, 2800x820 mm",2800,820,,,1061,,,,,,,,"(A) Längd plattform: 2800 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1061 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 820 mm
(C) Height folded: 1061 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
