Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),folded_height_mm (Plain text),folded_depth_mm (Plain text),total_width_mm (Plain text),max_load_kg (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),source_url_sv (Link),source_url_en (Link)
"10860 Loading ramp, 2-piece, 2200x900 mm",10860,fordonsmonterad-2-delad-ramp,fordon,10860,"Fordonsmonterad ramp, 2-delad, 2200x900","10860 Loading ramp, 2-piece, 2200x900 mm",2200,900,1261,241,1045,400,"(A) Längd plattform: 2200 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1261 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2200 mm
(B) Platform width: 900 mm
(C) Height folded: 1261 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10862 Loading ramp, 2-piece, 2400x900 mm",10862,fordonsmonterad-2-delad-ramp,fordon,10862,"Fordonsmonterad ramp, 2-delad, 2400x900","10862 Loading ramp, 2-piece, 2400x900 mm",2400,900,1361,241,1045,400,"(A) Längd plattform: 2400 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1361 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2400 mm
(B) Platform width: 900 mm
(C) Height folded: 1361 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10871 Loading ramp, 2-piece, 2600x900 mm",10871,fordonsmonterad-2-delad-ramp,fordon,10871,"Fordonsmonterad ramp, 2-delad, 2600x900","10871 Loading ramp, 2-piece, 2600x900 mm",2600,900,1461,241,1045,400,"(A) Längd plattform: 2600 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1461 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2600 mm
(B) Platform width: 900 mm
(C) Height folded: 1461 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10873 Loading ramp, 2-piece, 2800x900 mm",10873,fordonsmonterad-2-delad-ramp,fordon,10873,"Fordonsmonterad ramp, 2-delad, 2800x900","10873 Loading ramp, 2-piece, 2800x900 mm",2800,900,1561,241,1045,400,"(A) Längd plattform: 2800 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1561 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 241 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 900 mm
(C) Height folded: 1561 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 241 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tvadelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-two-piece
"10870 Loading ramp, 3-piece, 2500x820 mm",10870,fordonsmonterad-3-delad-ramp,fordon,10870,"Fordonsmonterad ramp, 3-delad, 2500x820","10870 Loading ramp, 3-piece, 2500x820 mm",2500,820,961,320,965,400,"(A) Längd plattform: 2500 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 961 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2500 mm
(B) Platform width: 820 mm
(C) Height folded: 961 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10881 Loading ramp, 3-piece, 2800x820 mm",10881,fordonsmonterad-3-delad-ramp,fordon,10881,"Fordonsmonterad ramp, 3-delad, 2800x820","10881 Loading ramp, 3-piece, 2800x820 mm",2800,820,1061,320,965,400,"(A) Längd plattform: 2800 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1061 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 820 mm
(C) Height folded: 1061 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10883 Loading ramp, 3-piece, 3100x820 mm",10883,fordonsmonterad-3-delad-ramp,fordon,10883,"Fordonsmonterad ramp, 3-delad, 3100x820","10883 Loading ramp, 3-piece, 3100x820 mm",3100,820,1161,320,965,400,"(A) Längd plattform: 3100 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1161 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3100 mm
(B) Platform width: 820 mm
(C) Height folded: 1161 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10885 Loading ramp, 3-piece, 3400x820 mm",10885,fordonsmonterad-3-delad-ramp,fordon,10885,"Fordonsmonterad ramp, 3-delad, 3400x820","10885 Loading ramp, 3-piece, 3400x820 mm",3400,820,1261,320,965,400,"(A) Längd plattform: 3400 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1261 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3400 mm
(B) Platform width: 820 mm
(C) Height folded: 1261 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10887 Loading ramp, 3-piece, 3700x820 mm",10887,fordonsmonterad-3-delad-ramp,fordon,10887,"Fordonsmonterad ramp, 3-delad, 3700x820","10887 Loading ramp, 3-piece, 3700x820 mm",3700,820,1361,320,965,400,"(A) Längd plattform: 3700 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1361 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3700 mm
(B) Platform width: 820 mm
(C) Height folded: 1361 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10889 Loading ramp, 3-piece, 4000x820 mm",10889,fordonsmonterad-3-delad-ramp,fordon,10889,"Fordonsmonterad ramp, 3-delad, 4000x820","10889 Loading ramp, 3-piece, 4000x820 mm",4000,820,1461,320,965,400,"(A) Längd plattform: 4000 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1461 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 4000 mm
(B) Platform width: 820 mm
(C) Height folded: 1461 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10891 Loading ramp, 3-piece, 4300x820 mm",10891,fordonsmonterad-3-delad-ramp,fordon,10891,"Fordonsmonterad ramp, 3-delad, 4300x820","10891 Loading ramp, 3-piece, 4300x820 mm",4300,820,1561,320,965,400,"(A) Längd plattform: 4300 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1561 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 820 mm
(C) Height folded: 1561 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10869 Loading ramp, 3-piece, 2500x900 mm",10869,fordonsmonterad-3-delad-ramp,fordon,10869,"Fordonsmonterad ramp, 3-delad, 2500x900","10869 Loading ramp, 3-piece, 2500x900 mm",2500,900,961,320,1045,400,"(A) Längd plattform: 2500 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 961 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2500 mm
(B) Platform width: 900 mm
(C) Height folded: 961 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10880 Loading ramp, 3-piece, 2800x900 mm",10880,fordonsmonterad-3-delad-ramp,fordon,10880,"Fordonsmonterad ramp, 3-delad, 2800x900","10880 Loading ramp, 3-piece, 2800x900 mm",2800,900,1061,320,1045,400,"(A) Längd plattform: 2800 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1061 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 900 mm
(C) Height folded: 1061 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10882 Loading ramp, 3-piece, 3100x900 mm",10882,fordonsmonterad-3-delad-ramp,fordon,10882,"Fordonsmonterad ramp, 3-delad, 3100x900","10882 Loading ramp, 3-piece, 3100x900 mm",3100,900,1161,320,1045,400,"(A) Längd plattform: 3100 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1161 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3100 mm
(B) Platform width: 900 mm
(C) Height folded: 1161 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10884 Loading ramp, 3-piece, 3400x900 mm",10884,fordonsmonterad-3-delad-ramp,fordon,10884,"Fordonsmonterad ramp, 3-delad, 3400x900","10884 Loading ramp, 3-piece, 3400x900 mm",3400,900,1261,320,1045,400,"(A) Längd plattform: 3400 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1261 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3400 mm
(B) Platform width: 900 mm
(C) Height folded: 1261 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10886 Loading ramp, 3-piece, 3700x900 mm",10886,fordonsmonterad-3-delad-ramp,fordon,10886,"Fordonsmonterad ramp, 3-delad, 3700x900","10886 Loading ramp, 3-piece, 3700x900 mm",3700,900,1361,320,1045,400,"(A) Längd plattform: 3700 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1361 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3700 mm
(B) Platform width: 900 mm
(C) Height folded: 1361 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10888 Loading ramp, 3-piece, 4000x900 mm",10888,fordonsmonterad-3-delad-ramp,fordon,10888,"Fordonsmonterad ramp, 3-delad, 4000x900","10888 Loading ramp, 3-piece, 4000x900 mm",4000,900,1461,320,1045,400,"(A) Längd plattform: 4000 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1461 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 4000 mm
(B) Platform width: 900 mm
(C) Height folded: 1461 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10890 Loading ramp, 3-piece, 4300x900 mm",10890,fordonsmonterad-3-delad-ramp,fordon,10890,"Fordonsmonterad ramp, 3-delad, 4300x900","10890 Loading ramp, 3-piece, 4300x900 mm",4300,900,1561,320,1045,400,"(A) Längd plattform: 4300 mm
(B) Bredd plattform: 900 mm
(C) Höjd ihopvikt: 1561 mm
(D) Bredd ramp: 1045 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 4300 mm
(B) Platform width: 900 mm
(C) Height folded: 1561 mm
(D) Outside width ramp: 1045 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
