Title,Slug,category_key,category_sv,category_en,subcategory_sv,subcategory_en,name_sv,name_en,description_sv,description_en,features_sv,features_en,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,source_url_sv,source_url_en,parent_page_sv,parent_page_en
iRAMP Threshold,troeskelramper-aluminium,troskelramper-och-tackplatar,Tröskelramper och täckplåtar,Threshold ramps - Cover plates,Tröskelramper och täckplåtar,Threshold ramps - Cover plates,iRAMP Threshold,iRAMP Threshold,Tröskelramp för montering på befintlig tröskel. Ger en mjuk och snygg övergång.,Threshold ramp for mounting on existing threshold. Provides a soft and stylish transition.,"### Ek

### Heltäckande ramp","### Oak

### Comprehensive threshold ramp",https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1196_833e110d.jpg,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1198_961ad98d.jpg,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1199_961ad98d.jpg,,,,,,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-aluminium,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-aluminium,,
THRESHOLD RAMPS PLASTIC,troeskelramper-plast,troskelramper-och-tackplatar,Tröskelramper och täckplåtar,Threshold ramps - Cover plates,Tröskelramper och täckplåtar,Threshold ramps - Cover plates,TRÖSKELRAMPER PLAST,THRESHOLD RAMPS PLASTIC,Byggbar tröskelramp i återvinningsbar plast.,Buildable threshold ramp in recyclable plastic.,### Byggbar tröskelramp,### Buildable threshold ramp,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1269_d01b21ca.jpg,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1275_961ad98d.jpg,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1274_961ad98d.jpg,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1351_961ad98d.jpg,,,,,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-plast,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-plastic,,
THRESHOLD RAMPS RUBBER,troeskelramper-gummi,troskelramper-och-tackplatar,Tröskelramper och täckplåtar,Threshold ramps - Cover plates,Tröskelramper och täckplåtar,Threshold ramps - Cover plates,TRÖSKELRAMPER GUMMI,THRESHOLD RAMPS RUBBER,Gummiramper med slitstark yta till exempel för användning i badrum.,Threshold ramps of rubber with durable surface such as for bathroom use.,,,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1418_d01b21ca.png,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1271_961ad98d.jpg,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1419_961ad98d.jpg,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1420_d01b21ca.png,,,,,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/troeskelramper-gummi,https://www.feal.se/ramps/threshold-ramps-cover-plates/threshold-ramps-rubber,,
iRAMP Cover plate,taeckplatar,troskelramper-och-tackplatar,Tröskelramper och täckplåtar,Threshold ramps - Cover plates,Tröskelramper och täckplåtar,Threshold ramps - Cover plates,iRAMP Cover plate,iRAMP Cover plate,Täckplåtar som ger en snygg och bra övergång vid borttagen tröskel.,Cover plates providing a sleek and smooth transition after removed threshold.,### Ek,### Oak,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1451_d01b21ca.jpg,https://cdn.jsdelivr.net/gh/redelefant-mr-e/FEAL@main/assets/images/1201_961ad98d.jpg,,,,,,,https://www.feal.se/ramper/troeskelramper-och-taeckplatar/taeckplatar,https://www.feal.se/ramps/threshold-ramps-cover-plates/cover-plates,,
